#  
#       file = fg-B.gvc-i-5-05-1-vertex.txt  
# created on = Mon May 25 17:29:19 EDT 2015 
#         by = B.gvc.hasse 
# 
coordX	coordY	coord	value
5.5	0	00000	10
3.5	1	00001	10
4.5	1	00010	9
5.5	1	00100	9
6.5	1	01000	8
7.5	1	10000	9
1.0	2	00011	9
2.0	2	00101	9
3.0	2	00110	9
4.0	2	01001	9
5.0	2	01010	8
6.0	2	01100	2
7.0	2	10001	9
8.0	2	10010	8
9.0	2	10100	9
10.0	2	11000	8
1.0	3	00111	9
2.0	3	01011	9
3.0	3	01101	3
4.0	3	01110	3
5.0	3	10011	3
6.0	3	10101	9
7.0	3	10110	9
8.0	3	11001	9
9.0	3	11010	3
10.0	3	11100	3
3.5	4	01111	4
4.5	4	10111	4
5.5	4	11011	4
6.5	4	11101	4
7.5	4	11110	4
5.5	5	11111	5
